               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.031565,            0.035711,                   0,              0.8674,             0.85039,             0.88796,              0.5284,            0.030243,            0.028831,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.031725,            0.035224,                   0,             0.85093,             0.83723,             0.88194,             0.52981,            0.030492,            0.029186,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.032175,            0.037627,                   0,             0.86946,             0.84364,             0.89138,              0.5349,            0.030092,             0.02923,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.031006,            0.035052,                   0,             0.89107,                0.83,             0.89005,              0.5351,            0.030267,            0.028696,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.030361,             0.03404,                   0,             0.89343,                0.85,             0.89772,              0.5434,            0.029838,            0.028898,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.030081,            0.034519,                   0,             0.89074,             0.85601,             0.89908,             0.55351,            0.029564,            0.028851,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.030145,            0.034843,                   0,             0.89653,             0.84667,             0.90277,             0.55067,            0.029629,            0.028407,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.030832,            0.035296,                   0,             0.87198,             0.85333,             0.90091,             0.55755,            0.029042,            0.027936,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.029738,            0.035082,                   0,             0.88413,             0.83938,             0.90326,             0.55677,            0.028826,            0.027827,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.029589,            0.032949,                   0,             0.90096,             0.83392,             0.90084,             0.55669,            0.029037,            0.027768,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.029702,             0.03454,                   0,             0.90611,             0.82833,             0.89882,             0.56579,            0.028435,            0.027938,                   0,            0.000496,            0.000496,            0.000496
